station_name,station_ids,first_id
DuSable Lake Shore Dr & Diversey Pkwy,"CHI00493, TA1309000039",TA1309000039
Marine Dr & Ainslie St,"CHI00617, KA1504000171",KA1504000171
Lincoln Ave & Belle Plaine Ave,"CHI00464, TA1309000026",TA1309000026
California & 16th St,"426, CHI00897",426
Halsted St & Polk St,"CHI00359, TA1307000121",TA1307000121
Federal St & Polk St,"CHI01775, SL-008",SL-008
State St & 35th St,"CHI00343, TA1307000129",TA1307000129
Campbell Ave & Fullerton Ave,"15648, CHI00634",15648
Campbell Ave & Montrose Ave,"15623, CHI00214",15623
California Ave & Division St,"13256, CHI00340",13256
Loomis St & Lexington St,"13332, CHI00238",13332
Cottage Grove Ave & 111th Pl,"20131, CHI00842",20131
Morgan St & 18th St,"13163, CHI00479",13163
Paulina Ave & North Ave,"CHI00258, TA1305000037",TA1305000037
Greenview Ave & Diversey Pkwy,"13294, CHI00382",13294
Kedzie Ave & 24th St,"CHI00534, KA1504000086",KA1504000086
Narragansett Ave & School St,"397, CHI00911",397
Kedzie Ave & Lake St,"CHI00528, KA1504000106",KA1504000106
Broadway & Granville Ave,"15571, CHI00563",15571
Washtenaw Ave & Lawrence Ave,"CHI00217, KA1504000080",KA1504000080
Clark St & Schreiber Ave,"CHI00361, KA1504000156",KA1504000156
Kedzie Ave & Foster Ave,"CHI00651, KA1504000128",KA1504000128
Spaulding Ave & Division St,"15654, CHI00644",15654
Homan Ave & 65th St,"392, CHI00915",392
Central Ave & Roscoe St,"21396, 396, CHI01911",396
State St & 54th St,"646, CHI01078",646
Lake Park Ave & 56th St,"CHI00511, TA1309000063",TA1309000063
Halsted St & 35th St,"CHI00401, TA1308000043",TA1308000043
Wood St & Chicago Ave,"637, CHI01183",637
Morgan Ave & 14th Pl,"CHI00261, TA1306000002",TA1306000002
Campbell Ave & North Ave,"13257, CHI00341",13257
Lake Park Ave & 47th St,"812, CHI00366, TA1308000035",TA1308000035
Lincoln Ave & Roscoe St*,"CHI01837, chargingstx5",chargingstx5
Morgan St & Polk St,"CHI00372, TA1307000130",TA1307000130
Dodge Ave & Main St,"CHI02044, E011",E011
Calumet Park,"20224, CHI00853",20224
California Ave & Milwaukee Ave,"13084, CHI00307",13084
Fairfield Ave & Roosevelt Rd,"CHI00578, KA1504000102",KA1504000102
Kedzie Ave & Leland Ave,"CHI00639, KA1504000126",KA1504000126
Sheffield Ave & Waveland Ave,"CHI00310, TA1307000126",TA1307000126
Public Rack - Hoyne Ave & 110th Pl,"902, CHI01367",902
Kimball Ave & Belmont Ave,"CHI00577, KA150400009X",KA150400009X
Mason Ave & Belmont Ave,"473, CHI00941",473
Canal St & Madison St,"13341, CHI00498",13341
Sheffield Ave & Webster Ave,"CHI00507, TA1309000033",TA1309000033
Public Rack - Walden Pkwy & 103rd St,"693, CHI00981",693
Lincoln Ave & Balmoral Ave,"442, CHI00930",442
Rockwell St & Eastwood Ave,"CHI00581, KA1504000093",KA1504000093
Major Ave & Bloomingdale Ave,"308, CHI01196",308
Halsted St & 63rd St,"745, CHI00249, KA1503000055",KA1503000055
California Ave & 23rd Pl,"15689, CHI00660",15689
63rd St Beach,"15491, CHI00315",15491
Field Museum,"13029, CHI01749",13029
Keystone Ave & Fullerton Ave,"16010, CHI00663",16010
Martin Luther King Dr & 111th St,"20115, CHI00817",20115
Indiana Ave & 31st St,"CHI00436, TA1308000036",TA1308000036
Kedzie Ave & Harrison St,"CHI00569, KA1504000082",KA1504000082
Hampden Ct & Diversey Ave,"202480.0, CHI02007",202480.0
Ritchie Ct & Banks St,"CHI00544, KA1504000134",KA1504000134
Washtenaw Ave & Polk St,"420, CHI00906",420
Ridge Blvd & Touhy Ave,"CHI00793, RP-006",RP-006
Dearborn St & Erie St,"13045, CHI00295",13045
Elmwood Ave & Austin St,"598, CHI00739",598
Sacramento Ave & 25th St,"424, CHI00908",424
State St & 29th St,"13213, CHI00231",13213
Eggleston Ave & 92nd St,"20118, 707, CHI00819",20118
Ping Tom Park (East),"20260.0, CHI00822",20260.0
New St & Illinois St,"CHI00279, TA1306000013",TA1306000013
Greenview Ave & Fullerton Ave,"CHI00232, TA1307000001",TA1307000001
California Ave & Altgeld St,"15646, CHI00628",15646
St. Louis Ave & Balmoral Ave,"CHI00659, KA1504000161",KA1504000161
N Southport Ave & W Newport Ave,"20257.0, CHI00834",20257.0
Wallace St & 35th St,"CHI00387, TA1308000045",TA1308000045
State St & 95th St,"20104, CHI00748",20104
Fairbanks St & Superior St,"18003, CHI00697",18003
Chicago Ave & Sheridan Rd,"CHI02043, E008",E008
Sheridan Rd & Buena Ave,"CHI00468, TA1309000027",TA1309000027
Greenwood Ave & 47th St,"CHI00422, TA1308000002",TA1308000002
Knox Ave & Montrose Ave,"592, CHI00733",592
DuSable Lake Shore Dr & Wellington Ave,"CHI00255, TA1307000041",TA1307000041
Public Rack - Harold Washington Park,"766, CHI01073",766
University Library (NU),"605, CHI01208",605
May St & Cullerton St,"13331, CHI00284",13331
Leavitt St & Chicago Ave,"18058, CHI00713",18058
Campbell Ave & Irving Park Rd,"439, CHI00928",439
Walden Pkwy & 100th St,"20107, CHI00795",20107
State St & 19th St,"CHI00676, SL-013",SL-013
Long & Irving Park,"398, CHI00916",398
Public Rack - Laramie Ave & Grand Ave,"550, CHI01330",550
Commercial Ave & 83rd St,"CHI00485, TA1309000051",TA1309000051
Lavergne Ave & 46th St,"399, CHI00890",399
Chicago State University,"20106, CHI00767",20106
Francisco Ave & Hollywood Ave,"460, CHI00935",460
Clark St & Elmdale Ave,"CHI00631, KA1504000148",KA1504000148
Wabash Ave & 16th St,"CHI00604, SL-012",SL-012
Public Rack - Kenton Ave & Palmer St,"516, CHI01119",516
Stave St & Armitage Ave,"13266, CHI00412",13266
Oak Park & Wellington,"318, CHI00796",318
Warren Park West,"CHI00602, RP-001",RP-001
Aberdeen St & Randolph St,"18062, CHI00715",18062
Wentworth Ave & 35th St,"CHI02033, KA1503000005",KA1503000005
Kilpatrick Ave & Parker Ave,"358, CHI00892",358
Public Rack - Lowell Ave & Elston Ave,"497, CHI01036",497
Western Blvd & 48th Pl,"594, CHI00735",594
Kedzie Ave & 48th Pl,"21382, 382, CHI01767",382
Leavitt St & North Ave,"CHI00428, TA1308000005",TA1308000005
Shabbona Park,"21395, 395, CHI01914",395
Valli Produce - Evanston Plaza,"599, CHI00977",599
Damen Ave & Cortland St,"13133, CHI00388",13133
Racine Ave & 35th St,"15446, CHI00456",15446
Canal St & Jackson Blvd,"13138, CHI00521",13138
Yates Blvd & 93rd St,"20237, CHI00856",20237
Seeley Ave & Garfield Blvd,"557, CHI01048",557
Manor Ave & Leland Ave,"CHI00633, KA1504000127",KA1504000127
Princeton Ave & Garfield Blvd,"CHI00762, KA1503000013",KA1503000013
Winthrop Ave & Lawrence Ave,"CHI00391, TA1308000021",TA1308000021
Pulaski Rd & 51st St,"21343, 343, CHI01876",343
Cottage Grove Ave & 51st St,"CHI00502, TA1309000067",TA1309000067
Burnham Greenway & 112th St,"20219, CHI00873",20219
Elizabeth St & 92nd St,"20119, CHI00821",20119
South Shore Dr & 74th St,"CHI00221, KA1503000020",KA1503000020
St. Louis Ave & Fullerton Ave,"CHI00219, KA1504000090",KA1504000090
Kedzie Ave & 57th St,"21346, 346, CHI01925",346
Walsh Park,"18067, CHI00716",18067
Western Ave & Grace St,"431, CHI00921, CHI02083",431
Milwaukee Ave & Cuyler Ave,"16991, CHI00692",16991
Rainbow Beach,"CHI00526, KA1503000049",KA1503000049
Stony Island Ave & South Chicago Ave,"577, CHI01203",577
Adler Planetarium,"13431, CHI00360",13431
Oakley Ave & Touhy Ave,"CHI00603, RP-004",RP-004
Public Rack - Eli Whitney Public School,"539, CHI00680",539
Stony Island Ave & 75th St,"CHI00565, KA1503000019",KA1503000019
Major Taylor Trail & 124th St,"20208, CHI00839",20208
Public Rack - Kedzie Ave & 64th St - SE,"755, CHI00973",755
Ashland Ave & Belle Plaine Ave,"13249, CHI00380",13249
Wood St & Taylor St (Temp),"13285, CHI00440",13285
Princeton Ave & 47th St,"CHI00804, KA1503000009",KA1503000009
Clybourn Ave & Division St,"CHI00344, TA1307000115",TA1307000115
Avenue O & 134th St,"20214, CHI00843",20214
Vernon Ave & 107th St,"20109, CHI00772",20109
Tripp Ave & 15th St,"21363, 363.0, CHI01980",363.0
Millard Ave & 26th St,"CHI00589, KA1504000110",KA1504000110
Public Rack - Monticello Ave & Belmont Ave,"500, CHI01277",500
Bissell St & Armitage Ave*,"CHI02022, chargingstx1",chargingstx1
Vincennes Ave & 104th St,"20124, CHI00861",20124
Sacramento Blvd & Franklin Blvd,"CHI00597, KA1504000113",KA1504000113
Dauphin Ave & 87th St,"20116, CHI00881",20116
Troy St & Jackson Blvd,"417, CHI00904",417
Rush St & Superior St,"15530, CHI00368",15530
Sangamon St & Washington Blvd,"13409, CHI00439",13409
Public Rack - Division St & Christiana Ave,"1054, CHI01506",1054
Sawyer Ave & Irving Park Rd,"CHI00579, KA1504000096",KA1504000096
Cottage Grove Ave & 47th St,"CHI00488, TA1309000053",TA1309000053
Public Rack - Spaulding Ave & North Ave,"510, CHI01124",510
Laramie Ave & Kinzie St,"530, CHI01122",530
Albany Ave & Bloomingdale Ave,"15655, CHI00645",15655
Ashland Ave & McDowell Ave,"16937, CHI00672",16937
Christiana Ave & Lawrence Ave,"15615, 860, CHI00302",15615
Kedzie Ave & Milwaukee Ave,"13085, CHI00378",13085
Central Ave & Chicago Ave,"16920, CHI00598",16920
Racine Ave & Garfield Blvd,"559, CHI01166",559
Southport Ave & Wrightwood Ave,"CHI00339, TA1307000113",TA1307000113
Calumet Ave & 51st St,"15470, 813, CHI00429",15470
Austin Blvd & Lake St,"16906, CHI00541",16906
Carpenter St & 63rd St,"18025, CHI00708",18025
Halsted St & Clybourn Ave,"331, CHI01161",331
Dorchester Ave & 49th St,"CHI00527, KA1503000069",KA1503000069
Oglesby Ave & 100th St,"20226, CHI00852",20226
Summit Ave & 86th St,"20101, CHI00728",20101
Public Rack - Lafayette Ave & 95th St,"621, CHI01172",621
Halsted St & 37th St,"CHI00415, TA1307000161",TA1307000161
Central Park Blvd & 5th Ave,"16907, CHI00542",16907
Cornell Ave & Hyde Park Blvd,"CHI02034, KA1503000007",KA1503000007
Spaulding Ave & Armitage Ave,"15650, CHI00635",15650
Ashland Ave & Blackhawk St,"13224, CHI00333",13224
Public Rack - Tripp Ave & North Ave,"1057, CHI01509",1057
Glenwood Ave & Touhy Ave,"525, CHI01143",525
Lamon Ave & Chicago Ave,"24205, 302, CHI01852",302
Phillips Ave & 79th St,"579, CHI00721",579
Loomis St & Archer Ave,"CHI00292, KA1503000040",KA1503000040
California Ave & 36th St,"21338, 338, CHI01875",338
Michigan Ave & 71st St,"651, CHI00799",651
Stony Island Ave & 90th St,"20236, CHI00850",20236
Kildare Ave & 47th St,"21401, 401, CHI01894",401
Peoria St & Jackson Blvd,"13158, CHI00402",13158
Buckingham Fountain,"15541, 15541.1.1, CHI02025",15541
Public Rack - Menard Ave & Agusta Blvd,"798, CHI01021",798
Phillips Ave & 83rd St,"582, CHI00723",582
Calumet Ave & 71st St,"15599, 728, CHI00293",15599
East End Ave & 87th St,"20231, 883, CHI00870",20231
Public Rack - Kedzie Ave & Argyle St,"491, CHI00966",491
Public Rack - Kimbark Ave & 67th St,"751, CHI01035",751
North Ave & New England Ave,"310, CHI01279",310
Central St & Girard Ave,"CHI02042, E007",E007
Stony Island Ave & 82nd St,"583, CHI00724",583
Karlov Ave & Madison St,"534, CHI01032",534
Latrobe Ave & Chicago Ave,"642, CHI01300",642
Cottage Grove Ave & 63rd St,"CHI00587, KA1503000054",KA1503000054
California Ave & Marquette Rd,"21390, 390, CHI01773",390
Kildare Ave & Chicago Ave,"21371, 371, CHI01887",371
Public Rack - Lockwood Ave & Diversey Ave,"964, CHI01438",964
Public Rack - Central Ave & Corcoran Pl,"793, CHI01140",793
Troy Ave & 27th St,"465, CHI00937",465
Clinton St & Polk St,"15542, CHI00458",15542
Sacramento Blvd & Addison St,"432, CHI00922",432
Marquette Ave & 89th St,"20239, CHI00871",20239
Halsted St & 51st St,"CHI00756, KA1503000010",KA1503000010
Franklin St & Jackson Blvd,"CHI02050, TA1305000025",TA1305000025
Cottage Grove Ave & 67th St,"CHI00582, KA1503000031",KA1503000031
Emerald Ave & 28th St,"CHI00373, TA1307000153",TA1307000153
Michigan Ave & Oak St,"13042, CHI00252",13042
Orleans St & Elm St,"CHI00263, TA1306000006",TA1306000006
Elston Ave & Cortland St,"CHI00259, TA1305000039",TA1305000039
Green St & Madison St,"CHI00347, TA1307000120",TA1307000120
Dusable Harbor,"CHI00531, KA1503000064",KA1503000064
Clinton St & Jackson Blvd,"638, CHI01091",638
Broadway & Barry Ave,"13137, CHI00390",13137
Cityfront Plaza Dr & Pioneer Ct,"13427, CHI00483",13427
Larrabee St & Oak St,"CHI00701, KA1504000116",KA1504000116
Jeffery Blvd & 71st St,"CHI00780, KA1503000018",KA1503000018
Damen Ave & Thomas St (Augusta Blvd),"CHI00296, TA1307000070",TA1307000070
Sheridan Rd & Irving Park Rd,"13063, CHI00304",13063
Richmond St & Diversey Ave,"15645, CHI00552",15645
Throop St & 52nd St,"556, CHI00696",556
McCormick Place,"CHI00607, TA1305000004",TA1305000004
California Ave & Byron St,"15628, CHI00535",15628
Clinton St & Tilden St,"13037, CHI01542",13037
Larrabee St & Menomonee St,"CHI00262, TA1306000007",TA1306000007
Dearborn Pkwy & Delaware Pl,"CHI00306, TA1307000128",TA1307000128
Clark St & Wrightwood Ave,"CHI00287, TA1305000014",TA1305000014
Clinton St & Lake St,"13021, CHI01746",13021
Ashland Ave & Division St,"13061, CHI00244",13061
Calumet Ave & 21st St,"15546, CHI00560",15546
Halsted St & 18th St,"13099, CHI00424",13099
Burnham Greenway & 105th St,"20222, CHI00863",20222
Public Rack - Kildare Ave & North Ave,"1058, CHI01510",1058
Harper Ave & 59th St,"CHI00584, KA1503000070",KA1503000070
Keeler Ave & Roosevelt Rd,"330.0, CHI01149",330.0
Austin Blvd & Madison St,"16918, CHI00596",16918
Elston Ave & George St,"472, CHI00940, CHI02084",472
Seeley Ave & Roscoe St,"13144, CHI00475",13144
Broadway & Thorndale Ave,"15575, CHI00571",15575
Washtenaw Ave & Peterson Ave,"458, CHI00934",458
Hale Ave & 107th St,"20108, CHI00794",20108
Michigan Ave & Lake St,"CHI00553, TA1305000011",TA1305000011
Central Park Ave & Bloomingdale Ave,"18017, CHI00702",18017
Damen Ave & Leland Ave,"CHI00381, TA1307000158",TA1307000158
Kenneth Ave & 50th St,"402, CHI00893",402
Springfield Ave & 47th St,"344, CHI00356",344
Public Rack - Kedzie Ave & Archer Ave,"836, CHI01297",836
Burling St & Diversey Pkwy,"13208, CHI00327, CHI00505, TA1309000036",TA1309000036
Western Ave & Gunnison St,"445, CHI00933",445
LaSalle Dr & Huron St,"CHI00640, KP1705001026",KP1705001026
Wolcott Ave & Fargo Ave,"519, CHI01266",519
Ogden Ave & Race Ave,"13194, CHI00229",13194
Constance Ave & 95th St,"20228, CHI00880",20228
Pine Grove Ave & Irving Park Rd,"13324, CHI00482, TA1308000022",TA1308000022
Central Ave & Lake St,"16905, CHI00539",16905
Albany Ave & 26th St,"15691, CHI00661",15691
Kildare Ave & Montrose Ave,"CHI00609, KA1706005015",KA1706005015
Rockwell St & Cermak Rd,"425, CHI00896",425
Eberhart Ave & 131st St,"20211, CHI00864",20211
Lincoln Ave & Addison St,"CHI00478, TA1309000050",TA1309000050
Ravenswood Ave & Irving Park Rd,"CHI00309, TA1307000149",TA1307000149
Ravenswood Ave & Lawrence Ave,"CHI00508, TA1309000066",TA1309000066
Public Rack - Kedzie Ave & 61st Pl E,"772, CHI00982",772
Francisco Ave & 47th St,"21381, 381, CHI01784",381
Central Park Ave & Douglas Blvd,"21329, 329.0, CHI01821",329.0
Ogden Ave & Roosevelt Rd,"CHI00580, KA1504000101",KA1504000101
Public Rack - Woodlawn Ave & 63rd St N,"951, CHI01419",951
Smith Park,"643, CHI01237",643
DuSable Lake Shore Dr & Belmont Ave,"CHI00480, TA1309000049",TA1309000049
Wilton Ave & Diversey Pkwy,"CHI00226, TA1306000014",TA1306000014
Clark St & Winnemac Ave,"CHI00495, TA1309000035",TA1309000035
Sheridan Rd & Argyle St,"13059, CHI00270",13059
California Ave & 26th St,"15692, CHI00662",15692
Avondale Ave & Irving Park Rd,"15624, CHI00215",15624
Cannon Dr & Fullerton Ave,"13124, CHI00314",13124
Kostner Ave & Wrightwood Ave,"23321, 321, CHI01816",321
State St & 76th St,"572, CHI01030",572
Kildare Ave & 26th St,"21365, 365.0, CHI01859",365.0
Conservatory Dr & Lake St,"518, CHI01170",518
Central Park Ave & North Ave,"15652, CHI00637",15652
St Louis Ave & 59th St,"21387, 387, CHI01851",387
Clarendon Ave & Leland Ave,"CHI00365, TA1307000119",TA1307000119
Canal St & Monroe St,"13056, CHI00398",13056
Western Ave & Lunt Ave,"CHI00801, RP-005",RP-005
Public Rack - Sacramento Ave & Devon Ave,"485, CHI00919",485
N Shore Channel Trail & Argyle St,"444, CHI00932",444
Torrence Ave & 126th Pl,"20217, CHI00841",20217
Milwaukee Ave & Grand Ave,"13033, CHI01750",13033
Francisco Ave & Bloomingdale Ave,"429, CHI00914",429
Artesian Ave & Hubbard St,"15664, CHI00647",15664
Exchange Ave & 79th St,"580, CHI00722",580
Public Rack - Jensen Park,"932, CHI01398",932
Jeffery Blvd & 67th St,"753, CHI00546, KA1503000030",KA1503000030
Augusta Blvd & Laramie Ave,"373, CHI00886",373
Dodge Ave & Mulford St,"662, CHI00798",662
Woodlawn Ave & 55th St,"CHI00423, TA1307000164",TA1307000164
Public Rack - Menard Ave & Grand Ave,"569, CHI00990",569
Public Rack - Avondale Ave & Addison St,"498, CHI01327",498
Calumet Ave & 33rd St,"13217, CHI00224",13217
Ada St & Washington Blvd,"13353, CHI00278",13353
Shields Ave & 43rd St,"CHI02047, KA1503000001",KA1503000001
Cottage Grove Ave & 83rd St,"585, CHI01254",585
State St & 79th St,"573, CHI00991",573
Houston Ave & 92nd St,"20242, CHI00832",20242
Loomis Blvd & 84th St,"20121, CHI00875",20121
Public Rack - Cicero Ave & Cortland St - midblock,"552, CHI01038",552
LaSalle St & Washington St,"13006, CHI01666",13006
Halsted St & 111th St,"20127, 875, CHI00956",20127
Ashland Ave & Archer Ave,"15442, CHI00363",15442
State St & Pershing Rd,"15449, CHI00491",15449
Calumet Ave & 35th St,"13345, CHI00355",13345
Public Rack - Western Ave & 110th St,"988, CHI01454",988
California Ave & Lake St,"15666, CHI00650",15666
MLK Jr Dr & 83rd St,"586, CHI01241",586
Southport Ave & Wellington Ave,"CHI00236, TA1307000006",TA1307000006
Public Rack - Penn Elementary School / KIPP Ascend Middle School,"531, CHI01171",531
Central Ave & Harrison St,"16915, CHI00594",16915
Vernon Ave & 79th St,"574, CHI01226",574
Public Rack - Bell Ave & 95th St,"698, CHI01220",698
Monticello Ave & Chicago Ave,"21301, 301, CHI02011",301
Central Park Ave & 24th St,"15687, CHI00658",15687
Ashland Ave & 63rd St,"16948, CHI00682",16948
Damen Ave & 59th St,"561, CHI00703",561
Public Rack - Western Blvd & 49th St,"821, CHI01227",821
Rockwell St & 57th St,"21386, 386, CHI01877",386
Virginia Ave & Catalpa Ave,"441, CHI00929",441
Lawndale Ave & 30th St,"21334, 334.0, CHI01882",334.0
Vernon Ave & 75th St,"571, CHI00712",571
Major Taylor Trail & 115th St,"20207, CHI00862",20207
Homewood Ave & 115th St,"20206, CHI00866",20206
W 103rd St & S Avers Ave,"20202, CHI00820",20202
Kilbourn Ave & Milwaukee Ave,"16994, CHI00694",16994
Eastlake Ter & Howard St,"523, CHI01097",523
Panama Ave & Grace St,"21394, 394, CHI01891",394
Perry Ave & 69th St,"CHI00554, KA1503000047",KA1503000047
Pine Grove Ave & Waveland Ave,"CHI00354, TA1307000150",TA1307000150
LaSalle St & Adams St,"CHI00451, KA1503000034",KA1503000034
Greenwood Ave & 91st St,"20235, CHI00845",20235
Mies van der Rohe Way & Chicago Ave,"13338, CHI00470",13338
Ogden Ave & Chicago Ave,"CHI00275, TA1305000020",TA1305000020
Sedgwick St & Huron St,"CHI00241, TA1307000062",TA1307000062
Greenwood Ave & 79th St,"576, CHI01031",576
Public Rack - Laramie Ave & Fullerton Ave,"549, CHI00690",549
Public Rack - Milwaukee Ave & Haussen Ct,"505, CHI01135",505
Larrabee St & Division St,"CHI00575, KA1504000079",KA1504000079
Homan Ave & Fillmore St,"364.0, CHI00898",364.0
Damen Ave & 74th St,"16951, CHI00688",16951
Parkside Ave & Armitage Ave,"21354, 354, CHI01846",354
Public Rack - Milwaukee Ave & School St,"501, CHI01019",501
Public Rack - Cicero Ave & Roscoe St,"543, CHI01020",543
Ashland Ave & Pershing Rd,"16932, CHI00601",16932
State St & Pearson St,"CHI00271, TA1307000061",TA1307000061
Western Ave & Division St,"13241, CHI00375",13241
Ellis Ave & 60th St,"CHI00765, KA1503000014",KA1503000014
Sheridan Rd & Greenleaf Ave,"CHI00371, KA1504000159",KA1504000159
Aberdeen St & Monroe St,"13156, CHI00321",13156
Halsted St & Roosevelt Rd,"CHI00364, TA1305000017",TA1305000017
Field Blvd & South Water St,"15534, CHI00383",15534
Racine Ave & 18th St,"13164, CHI00277",13164
Central Ave & Parker Ave,"355, CHI00891",355
