station_id,station_name,lat,lng,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507
  24321,Oconto Ave & Belmont Ave,41.93791306,-87.807929754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.67,0.43,0.45,0.67,0.55,0.33,0.6,1.0,0.6,1.0,0.75,0.69,0.88
021320,MTV Hubbard St,41.89,-87.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.69,2.22,3.32,2.38,2.27,1.36,1.48,0.92,1.45,2.48,4.2,5.19,5.4,4.52,4.32,4.9,3.32,3.67,2.1,2.04,0.77,0.48,0.83,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011,Public Rack - Fullerton Ave & Narragansett Ave,41.92,-87.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,1.32,1.0,0.62,0.67,0.83,1.0,0.0,0.0,1.0,0.73,1.17,0.82,1.0,1.0,1.0,1.33,2.0,1.17,0.6,0.0,0.93,0.6,1.0,1.0,0.67,0.5,0.5,0.88,0.5,0.5,1.0,0.0,0.75,0.8,0.83,1.0
1012,Public Rack - Langley Ave & 49th St,41.804911137,-87.609107494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.67,1.18,1.44,1.79,1.81,0.87,0.75,1.12,1.08,1.12,0.83,1.05,0.82,0.64,0.77,1.05,0.69,1.0,0.71,1.3,1.19,1.3,0.89,0.85,0.88
1013,Public Rack - Pulaski Rd & Lake St,41.89,-87.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.83,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.67,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.8,0.67,0.08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,Public Rack - Richmond St & Thorndale Ave,41.99,-87.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3.5,0.33,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1015,Public Rack - Peterson Ave & Drake Ave,41.99,-87.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.14,0.75,0.5,1.0,0.0,1.0,1.0,1.14,1.33,1.17,1.0,1.17
1016,Public Rack - Peterson Ave & Bernard Ave,41.99,-87.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,Public Rack - Foster Ave & Drake Ave,41.98,-87.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,0.5,0.8,0.73,1.09,0.4,1.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
1018,Public Rack - Kostner Ave & Wrightwood Ave,41.93,-87.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.5,0.75,1.5,0.75,1.29,1.0,2.5,1.33,1.0,1.0,0.0,0.71,0.67,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.67,1.0
1019,Public Rack - Kostner Ave & Diversey Ave,41.93,-87.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.19,1.25,0.9,0.75,1.0,0.62,0.6,1.0,0.0,1.53,1.16,1.3,1.32,1.05,0.95,1.0,0.79,0.69,0.64,1.1,1.06,1.04,0.86,0.75,0.92,0.6,1.0,0.75,1.0,0.0,0.5,1.0,1.0,0.67,0.0,0.67
1020,Public Rack - Hamlin Ave & Madison St,41.88,-87.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0
1021,Public Rack - Pulaski Rd & Flournoy St,41.87,-87.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1022,Public Rack - Ewing Ave & 96th St S,41.72,-87.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1023,Public Rack - Brainerd Park,41.73,-87.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.93,1.14,0.81,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
